name,file path
- (can't Get My) Head Around You-The Offspring-(17)Rock,E:\Music\Rock\(Can't Get My) Head Around You.mp3
Roxanne-The Police-(17)Rock,E:\Music\Rock\01 Roxanne.mp3
Can't Stand Losing You-The Police-(17)Rock,E:\Music\Rock\02 Can't Stand Losing You.mp3
Dream On-Aerosmith-(17)Rock,E:\Music\Rock\AEROSMITH-DREAM ON.mp3
Black Night-Deep Purple-(17)Rock,E:\Music\Rock\Black Night.mp3
Bus Stop-The Hollies-(17)Rock,E:\Music\Rock\Bus Stop.mp3
Dirty Magic-The Offspring-(17)Rock,E:\Music\Rock\Dirty Magic (Lyrics).mp3
I Love Rock And Roll-Joan Jett-(17)Rock,E:\Music\Rock\I Love Rock and Roll.mp3
I Wanna Be Sedated-Ramones-(17)Rock,E:\Music\Rock\I WANNA BE SEDATED.mp3
Immigrant Song-Led Zeppelin-(17)Rock,E:\Music\Rock\immigrant song.mp3
In The End-Linkin Park-(17)Rock,E:\Music\Rock\In The End.mp3
Let It Be-The Beatles-(17)Rock,E:\Music\Rock\let it be.mp3
Love Me Do-The Beatles-(17)Rock,E:\Music\Rock\love me do.mp3
My Generation-The Who-(17)Rock,E:\Music\Rock\my generation.mp3
My Sharona-The Knack-(17)Rock,E:\Music\Rock\My Sharona.mp3
She's Gone-Black Sabbath-(17)Rock,E:\Music\Rock\She's Gone.mp3
Shes Got Issues-The Offspring-(17)Rock,E:\Music\Rock\She's Got Issues.mp3
Don't Let Me Down-The Beatles-(17)Rock,E:\Music\Rock\The Beatles  Don't Let me Down.mp3
The Final Countdown-Europe-(17)Rock,E:\Music\Rock\the final countdown.mp3
The Kids Aren't Alright-The Offspring-(17)Rock,E:\Music\Rock\The Kids Aren't Alright.mp3
Seven Nation Army-The White Stripes-(17)Rock,E:\Music\Rock\The White Stripes - 'Seven Nation Army'.mp3
Thunderstruck-Ac/dc-(17)Rock,E:\Music\Rock\Thunderstruck.mp3
You Can't Bring Me Down-Suicidal Tendences-(17)Rock,E:\Music\Rock\You Can't Bring Me Down.mp3
You Really Got Me-The Kinks-(17)Rock,E:\Music\Rock\you really got me.mp3
